TIMESTAMP,Open,High,Low,Close
2022-04-01,17474.72159598729,17688.0,17474.72159598729,17688.0
2022-04-04,17867.850967438404,18056.652671566422,17867.850967438404,18036.9
2022-04-05,18048.031538383653,18070.520801645896,17931.05,17931.05
2022-04-06,17866.41806398603,17877.474549230574,17798.0,17798.0
2022-04-07,17722.126247920158,17768.539846097872,17641.515841427234,17656.45
2022-04-08,17679.570367650613,17819.184480591015,17644.524958788348,17800.65
2022-04-11,17703.5252575251,17749.933042890436,17675.192874880333,17681.15
2022-04-12,17574.190763581693,17574.190763581693,17470.640522092872,17523.25
2022-04-13,17632.595318254484,17632.595318254484,17465.8,17465.8
2022-04-18,17208.432525799413,17209.248888790327,17098.179320396295,17183.8
2022-04-19,17207.482511552018,17249.63284474613,16868.9,16868.9
2022-04-20,17057.496160441846,17151.875306456466,17057.496160441846,17149.3
2022-04-21,17238.613498317765,17400.85,17238.613498317765,17400.85
2022-04-22,17216.610330620588,17297.049331372124,17169.5,17169.5
2022-04-25,16968.34765628455,17013.670906051208,16928.336102683636,16985.25
2022-04-26,17147.431128162418,17202.822797087458,17098.677010176772,17200.05
2022-04-27,17085.886635066854,17085.886635066854,16994.676765283417,17038.2
2022-04-28,17116.99552350028,17305.19431371777,17093.880680951774,17229.5
2022-04-29,17328.450003153164,17362.69217249057,17102.5178225478,17110.75
2022-05-02,16974.59733906745,17068.02423354708,16971.83969242117,17066.05
2022-05-04,17070.693301121508,17070.693301121508,16679.024399428625,16692.75
2022-05-05,16813.004785794823,16904.891897429796,16671.6,16671.6
2022-05-06,16416.250486165616,16452.807553493476,16364.029832853108,16440.25
2022-05-09,16191.64667682606,16360.731518706196,16191.64667682606,16310.049999999996
2022-05-10,16333.440616528953,16378.357411160798,16209.200000000004,16209.200000000004
2022-05-11,16291.562522868477,16291.562522868477,16030.804231792166,16202.700000000004
2022-05-12,15938.791517727574,15938.791517727574,15784.238568787141,15821.75
2022-05-13,15974.809183666026,16052.792818002405,15779.757808870812,15779.757808870812
2022-05-16,15840.331310065934,15936.120247063876,15810.232814109348,15863.4
2022-05-17,15953.826740637187,16280.45,15950.147637886883,16280.45
2022-05-18,16351.482493810903,16372.179883382172,16241.215116937852,16256.45
2022-05-19,15941.727135352334,15946.988420195332,15800.846065104077,15829.049999999996
2022-05-20,16090.207171086367,16280.9,16090.207171086367,16280.9
2022-05-23,16279.152094060013,16381.025946363252,16191.65,16191.65
2022-05-24,16230.42124629646,16230.42124629646,16106.329317134605,16138.0
2022-05-25,16201.993157132641,16201.993157132641,16027.340432045967,16033.9
2022-05-26,16085.929518736555,16201.899999999998,15921.282238275127,16201.899999999998
2022-05-27,16302.644675519483,16359.35,16254.301364274117,16359.35
2022-05-30,16567.28511872769,16677.129228622613,16567.28511872769,16668.7
2022-05-31,16560.7453567826,16676.502102998013,16551.533977369494,16581.0
2022-06-01,16629.403352673737,16629.403352673737,16460.683246222994,16543.95
2022-06-02,16481.947550377106,16638.8,16481.947550377106,16638.8
2022-06-03,16776.227169049598,16776.227169049598,16584.381416653127,16584.5
2022-06-06,16527.850684336205,16590.478639499346,16492.799784784624,16565.75
2022-06-07,16430.06282968798,16430.06282968798,16373.472138980776,16404.85
2022-06-08,16410.645557568747,16474.645777124282,16329.07785191516,16340.95
2022-06-09,16285.578236802916,16481.4,16285.578236802916,16481.4
2022-06-10,16300.187544596585,16300.187544596585,16187.656110276825,16200.864920872798
2022-06-13,15814.039129531919,15814.039129531919,15701.677916649693,15800.3
2022-06-14,15722.772562477374,15840.74727605852,15707.900656079955,15741.95
2022-06-15,15711.337435682832,15764.579423917909,15688.9,15688.9
2022-06-16,15832.517897425669,15832.517897425669,15348.35,15348.35
2022-06-17,15261.748337378784,15336.761978905628,15239.33095237795,15335.1
2022-06-20,15309.54878178018,15351.982421179446,15238.926033021762,15351.166531594135
2022-06-21,15461.285559806514,15687.93043767561,15461.285559806514,15631.5
2022-06-22,15516.137577185913,15516.137577185913,15401.7,15401.7
2022-06-23,15475.148971204151,15618.0224128697,15397.32033113817,15574.850000000002
2022-06-24,15718.5441903046,15718.5441903046,15637.877400586074,15697.75
2022-06-27,15890.179353059319,15900.203579962705,15830.23027354124,15838.4
2022-06-28,15748.650993778147,15875.1,15727.292972765503,15875.1
2022-06-29,15705.952209433108,15846.248590362695,15705.952209433108,15783.700000000004
2022-06-30,15853.390614294707,15870.315390509448,15734.2,15734.2
2022-07-01,15690.620419043418,15766.6,15569.301639874353,15766.6
2022-07-04,15744.088233961753,15834.794988772162,15683.009710978245,15827.95
2022-07-05,15921.843723226411,16016.946038133268,15798.9,15798.9
