TIMESTAMP,Open,High,Low,Close,Return,Past3DayHigh,High_vs_Past3High,Next1DayReturn,Next2DayReturn
2022-04-01,17474.72159598729,17688.0,17474.72159598729,17688.0,0.012204967205983224,,,0.019725237449118138,0.013740954319312548
2022-04-04,17867.850967438404,18056.652671566422,17867.850967438404,18036.9,0.009461072451839062,,,-0.005868525079143483,-0.013245069829072698
2022-04-05,18048.031538383653,18070.520801645896,17931.05,17931.05,-0.006481678521830121,,,-0.007420089732614654,-0.015314217516542494
2022-04-06,17866.41806398603,17877.474549230574,17798.0,17798.0,-0.0038294225367951165,18070.520801645896,-193.04625241532267,-0.007953140802337333,0.00014889313406007965
2022-04-07,17722.126247920158,17768.539846097872,17641.515841427234,17656.45,-0.003705889857762677,18070.520801645896,-301.9809555480242,0.00816698713501296,0.001398922206898856
2022-04-08,17679.570367650613,17819.184480591015,17644.524958788348,17800.65,0.006848561918163775,18070.520801645896,-251.3363210548814,-0.006713237999735999,-0.015583700595203087
2022-04-11,17703.5252575251,17749.933042890436,17675.192874880333,17681.15,-0.0012638871185041184,17877.474549230574,-127.54150634013786,-0.0089304145940734,-0.012179637636692275
2022-04-12,17574.190763581693,17574.190763581693,17470.640522092872,17523.25,-0.0028986121902839397,17819.184480591015,-244.9937170093217,-0.0032785014195426676,-0.019371406559856252
2022-04-13,17632.595318254484,17632.595318254484,17465.8,17465.8,-0.009459487684255207,17819.184480591015,-186.58916233653144,-0.01614583929736968,-0.034175359846099096
2022-04-18,17208.432525799413,17209.248888790327,17098.179320396295,17183.8,-0.0014314218196505785,17749.933042890436,-540.6841541001086,-0.018325399504183992,-0.0020077049313889095
2022-04-19,17207.482511552018,17249.63284474613,16868.9,16868.9,-0.01967646989178769,17632.595318254484,-382.96247350835256,0.016622304951715794,0.031534362050874565
2022-04-20,17057.496160441846,17151.875306456466,17057.496160441846,17149.3,0.005382023170027516,17632.595318254484,-480.72001179801737,0.014668237187523747,0.0011778906427668545
2022-04-21,17238.613498317765,17400.85,17238.613498317765,17400.85,0.00941122681926044,17249.63284474613,151.21715525386753,-0.013295327527103495,-0.023883890729475832
2022-04-22,17216.610330620588,17297.049331372124,17169.5,17169.5,-0.0027363301902000848,17400.85,-103.80066862787498,-0.01073123853344593,0.0017793179766445455
2022-04-25,16968.34765628455,17013.670906051208,16928.336102683636,16985.25,0.0009961101727657031,17400.85,-387.179093948791,0.012646266613679513,0.003117410694573275
2022-04-26,17147.431128162418,17202.822797087458,17098.677010176772,17200.05,0.003068615435414224,17400.85,-198.02720291254082,-0.009409856366696556,0.0017122043249875318
2022-04-27,17085.886635066854,17085.886635066854,16994.676765283417,17038.2,-0.0027909956378255434,17297.049331372124,-211.1626963052695,0.011227711847495492,0.00425807890504859
2022-04-28,17116.99552350028,17305.19431371777,17093.880680951774,17229.5,0.006572676632722053,17202.822797087458,102.37151663031182,-0.006892248759395203,-0.009486636292405537
2022-04-29,17328.450003153164,17362.69217249057,17102.5178225478,17110.75,-0.012563154991563042,17305.19431371777,57.4978587728001,-0.002612392794003826,-0.024429086977484915
2022-05-02,16974.59733906745,17068.02423354708,16971.83969242117,17066.05,0.0053876188698784066,17362.69217249057,-294.6679389434903,-0.02187383723825953,-0.023113139830247764
2022-05-04,17070.693301121508,17070.693301121508,16679.024399428625,16692.75,-0.022139891711174833,17362.69217249057,-291.9988713690618,-0.0012670171182100898,-0.015126327297778963
2022-05-05,16813.004785794823,16904.891897429796,16671.6,16671.6,-0.008410441060142696,17362.69217249057,-457.80027506077386,-0.013876892439837696,-0.021686580772091624
2022-05-06,16416.250486165616,16452.807553493476,16364.029832853108,16440.25,0.0014619363815512453,17070.693301121508,-617.8857476280318,-0.007919587597512434,-0.014053922537674013
2022-05-09,16191.64667682606,16360.731518706196,16191.64667682606,16310.049999999996,0.007312617767493533,17070.693301121508,-709.961782415312,-0.006183304159091518,-0.006581831447481257
2022-05-10,16333.440616528953,16378.357411160798,16209.200000000004,16209.200000000004,-0.007606518396572289,16904.891897429796,-526.5344862689981,-0.0004010068356241625,-0.023903092071169696
2022-05-11,16291.562522868477,16291.562522868477,16030.804231792166,16202.700000000004,-0.005454511974756007,16452.807553493476,-161.24503062499934,-0.02351151351318015,-0.026103192130274122
2022-05-12,15938.791517727574,15938.791517727574,15784.238568787141,15821.75,-0.007343186439034397,16378.357411160798,-439.5658934332241,-0.002654080056200381,0.0026324521623712904
