,TIMESTAMP,NCM_LTP1
122,2022-04-13 14:00:00,17506.589449455216
123,2022-04-13 14:30:00,17509.808201321164
124,2022-04-13 15:00:00,17476.007283360734
125,2022-04-13 15:30:00,17465.8
126,2022-04-18 09:00:00,17208.432525799413
127,2022-04-18 09:30:00,17209.248888790327
128,2022-04-18 10:00:00,17157.56250946546
129,2022-04-18 10:30:00,17151.975174670322
130,2022-04-18 11:00:00,17157.03407616864
131,2022-04-18 11:30:00,17161.486084933083
132,2022-04-18 12:00:00,17139.003161278706
133,2022-04-18 12:30:00,17099.62551709722
134,2022-04-18 13:00:00,17098.179320396295
135,2022-04-18 13:30:00,17133.137358445736
136,2022-04-18 14:00:00,17146.549390992637
137,2022-04-18 14:30:00,17174.94788463429
138,2022-04-18 15:00:00,17173.496553685836
139,2022-04-18 15:30:00,17183.8
140,2022-04-19 09:00:00,17207.48251155202
141,2022-04-19 09:30:00,17179.75084889672
142,2022-04-19 10:00:00,17186.499330948143
143,2022-04-19 10:30:00,17182.33645734572
144,2022-04-19 11:00:00,17195.90317628999
145,2022-04-19 11:30:00,17223.29851034695
146,2022-04-19 12:00:00,17236.26091504726
147,2022-04-19 12:30:00,17216.416637179198
148,2022-04-19 13:00:00,17203.172063514372
149,2022-04-19 13:30:00,17242.222975651785
150,2022-04-19 14:00:00,17249.63284474613
151,2022-04-19 14:30:00,17190.69728208865
152,2022-04-19 15:00:00,16948.258117741654
153,2022-04-19 15:30:00,16868.9
154,2022-04-20 09:00:00,17057.496160441846
155,2022-04-20 09:30:00,17108.02637327291
156,2022-04-20 10:00:00,17114.28453682754
157,2022-04-20 10:30:00,17095.007591934333
158,2022-04-20 11:00:00,17111.320851237815
159,2022-04-20 11:30:00,17080.107642718904
160,2022-04-20 12:00:00,17096.812667871374
161,2022-04-20 12:30:00,17151.875306456463
162,2022-04-20 13:00:00,17150.711629874888
163,2022-04-20 13:30:00,17111.18569895705
164,2022-04-20 14:00:00,17092.561199993146
165,2022-04-20 14:30:00,17116.57173613367
166,2022-04-20 15:00:00,17138.080744785377
167,2022-04-20 15:30:00,17149.3
168,2022-04-21 09:00:00,17238.613498317765
169,2022-04-21 09:30:00,17248.573304305457
170,2022-04-21 10:00:00,17257.94108132131
171,2022-04-21 10:30:00,17268.467108165558
172,2022-04-21 11:00:00,17325.072374570907
173,2022-04-21 11:30:00,17331.144455192607
174,2022-04-21 12:00:00,17338.15161111513
175,2022-04-21 12:30:00,17351.039849685665
176,2022-04-21 13:00:00,17359.974627650943
177,2022-04-21 13:30:00,17371.978660796936
178,2022-04-21 14:00:00,17382.538005976865
179,2022-04-21 14:30:00,17398.51182968608
180,2022-04-21 15:00:00,17393.510667903418
181,2022-04-21 15:30:00,17400.85
182,2022-04-22 09:00:00,17216.610330620588
183,2022-04-22 09:30:00,17234.09545877198
184,2022-04-22 10:00:00,17221.42301821211
185,2022-04-22 10:30:00,17240.344447299056
186,2022-04-22 11:00:00,17286.266924158102
187,2022-04-22 11:30:00,17292.319429466606
188,2022-04-22 12:00:00,17297.049331372124
189,2022-04-22 12:30:00,17292.705914541344
190,2022-04-22 13:00:00,17275.783274766705
191,2022-04-22 13:30:00,17281.551616340785
192,2022-04-22 14:00:00,17215.05957611475
193,2022-04-22 14:30:00,17177.467338793278
194,2022-04-22 15:00:00,17174.294205976614
195,2022-04-22 15:30:00,17169.5
196,2022-04-25 09:00:00,16968.34765628455
197,2022-04-25 09:30:00,16987.405713833527
198,2022-04-25 10:00:00,17013.67090605121
199,2022-04-25 10:30:00,16994.967901409724
200,2022-04-25 11:00:00,17004.89885142183
201,2022-04-25 11:30:00,16996.406682803074
202,2022-04-25 12:00:00,16962.13498008088
203,2022-04-25 12:30:00,16937.92106165724
204,2022-04-25 13:00:00,16978.665081734456
205,2022-04-25 13:30:00,16967.233565948918
206,2022-04-25 14:00:00,16958.397503897133
207,2022-04-25 14:30:00,16928.336102683636
208,2022-04-25 15:00:00,16955.615787470593
209,2022-04-25 15:30:00,16985.25
210,2022-04-26 09:00:00,17147.43112816242
211,2022-04-26 09:30:00,17168.150595800675
212,2022-04-26 10:00:00,17159.41666306664
213,2022-04-26 10:30:00,17143.944534116563
214,2022-04-26 11:00:00,17146.4968783401
215,2022-04-26 11:30:00,17169.82360758444
216,2022-04-26 12:00:00,17154.143671703117
217,2022-04-26 12:30:00,17118.477157537825
218,2022-04-26 13:00:00,17098.677010176772
219,2022-04-26 13:30:00,17135.64838313507
220,2022-04-26 14:00:00,17139.76301814401
221,2022-04-26 14:30:00,17134.569487363708
222,2022-04-26 15:00:00,17202.82279708746
223,2022-04-26 15:30:00,17200.05
224,2022-04-27 09:00:00,17085.886635066854
225,2022-04-27 09:30:00,17069.476128966693
226,2022-04-27 10:00:00,17065.480164834942
227,2022-04-27 10:30:00,17048.302306524878
228,2022-04-27 11:00:00,17055.759175124356
229,2022-04-27 11:30:00,17032.349002340685
230,2022-04-27 12:00:00,17036.873535746057
231,2022-04-27 12:30:00,17009.34448961091
232,2022-04-27 13:00:00,16994.67676528342
233,2022-04-27 13:30:00,17054.550557123777
234,2022-04-27 14:00:00,17044.095186459526
235,2022-04-27 14:30:00,17070.399812954398
236,2022-04-27 15:00:00,17037.836040865408
237,2022-04-27 15:30:00,17038.2
238,2022-04-28 09:00:00,17116.99552350028
239,2022-04-28 09:30:00,17105.40018796241
240,2022-04-28 10:00:00,17108.23854696056
